prev,curr,type,n
Family_tree_of_Roman_emperors,Lucius_Salvius_Otho_Titianus,link,11
Filippo_Brunelleschi,Michelangelo,link,11
Fine_art,Michelangelo,link,11
List_of_works_by_Leonardo_da_Vinci,Leonardo_da_Vinci,link,307
First_Blood_(Dexter),Raphael_Sbarge,link,11
other-empty,Replicas_of_Michelangelo's_David,external,307
other-search,"David_(Donatello,_marble)",external,307
Florence,Masaccio,link,11
other-empty,Raphael_Cartoons,external,306
other-internal,Raphael_Warnock,external,306
Michelangelo_Antonioni,"Chung_Kuo,_Cina",link,305
Francesco_Maria_I_della_Rovere,Raphael,link,11
Raphael_(archangel),Pool_of_Bethesda,link,305
Frederic_Raphael,Christiane_Kubrick,link,11
Frederic_Raphael,Swinging_Sixties,link,11
From_Beijing_with_Love,Leonardo_da_Vinci,link,11
Gabriel,Leonardo_da_Vinci,link,11
Pre-Raphaelite_Brotherhood,Thomas_Woolner,link,303
Galleria_Nazionale_d'Arte_Antica,Raphael,link,11
other-search,Self-portrait_(Raphael),external,302
George_the_Poet,St_Raphael's_Estate,link,11
D'Wayne_Wiggins,Raphael_Saadiq,link,301
Pietà_(Michelangelo),Carrara_marble,link,301
Raphael_Saadiq,The_Way_I_See_It,link,301
Raphael_Warnock,United_States_Senate,link,301
Gian_Lorenzo_Bernini,"David_(Donatello,_bronze)",link,11
Giorgione,Christ_Carrying_the_Cross_(Titian),link,11
Giotto,Leonardo_da_Vinci,other,11
other-search,The_Entombment_(Michelangelo),external,301
other-search,The_Martyrdom_of_Saint_Lawrence_(Titian),external,301
Giuliano_de'_Medici,Michelangelo,link,11
David_(Michelangelo),"David_(Donatello,_marble)",other,300
Pre-Raphaelite_Brotherhood,Ophelia_(Millais),link,300
other-search,Raphael_Geminder,external,300
Gordon_Raphael,Blonde_Redhead,link,11
Gordon_Raphael,Colleen_Green,link,11
Gordon_Raphael,Hinds_(band),link,11
Gordon_Raphael,Riff_After_Riff_After_Motherfucking_Riff,link,11
Gordon_Raphael,Skin_(musician),link,11
Donatello_(Teenage_Mutant_Ninja_Turtles),Leonardo_(Teenage_Mutant_Ninja_Turtles),link,299
Israfil,Raphael_(archangel),link,299
Michelangelo,Sin_(2019_film),link,299
Grand_Duchess_Tatiana_Nikolaevna_of_Russia,David_(Michelangelo),link,11
other-empty,"Risen_Christ_(Michelangelo,_Santa_Maria_sopra_Minerva)",external,299
other-empty,Raphael_Tuju,external,298
other-search,Perseus_and_Andromeda_(Titian),external,298
Guidobaldo_da_Montefeltro,Raphael,link,11
Head_of_Christ_(Leonardo),List_of_works_by_Leonardo_da_Vinci,link,11
Henry_Benedict_Stuart,Anton_Raphael_Mengs,link,11
Michelangelo_(Teenage_Mutant_Ninja_Turtles),Teenage_Mutant_Ninja_Turtles,link,294
Hermitage_Museum,Titian,link,11
The_Guardian_(TV_series),Raphael_Sbarge,link,294
Uriel,Raphael_(archangel),link,294
History_of_Italy,David_(Michelangelo),link,11
History_of_Italy,Leonardo_da_Vinci,link,11
Raphael_Warnock,Union_Theological_Seminary,link,293
other-empty,Venus_and_Adonis_(Titian),external,292
Human_brain,Leonardo_da_Vinci,link,11
Humanism,David_(Michelangelo),link,11
Pre-Raphaelite_Brotherhood,John_Ruskin,link,291
Human–canine_bond,Titian,link,11
Leonardo_da_Vinci,Donatello,link,290
The_Beast_in_Me_(TV_series),Raphael_Sbarge,link,290
Pre-Raphaelite_Brotherhood,Christ_in_the_House_of_His_Parents,link,289
other-empty,Anton_Raphael_Mengs,external,289
Isabeau_of_Bavaria,Leonardo_da_Vinci,other,11
Italian_Renaissance,"David_(Donatello,_bronze)",link,11
other-search,Anton_Raphael_Mengs,external,287
Italian_ship_Leonardo_da_Vinci,Italian_submarine_Leonardo_da_Vinci_(1939),link,11
Italian_submarine_Leonardo_da_Vinci_(1939),Jim_Wilson_(librarian),link,11
Italy_in_the_Eurovision_Song_Contest_2011,Raphael_Gualazzi,link,11
J._Paul_Getty_Museum,Raphael,link,11
Italy,Leonardo_da_Vinci,link,286
Jack_Horkheimer,Sally_Jessy_Raphael,link,11
List_of_suicides_attributed_to_bullying,Suicide_of_Nicola_Ann_Raphael,link,286
Jacob_Cohen,Jacob_Raphael_Cohen,link,11
Jacques_Raphael_Finlay,John_Finlay_(fur_trader),link,11
James_Horncastle,Raphael_Honigstein,link,11
Arabelle_Raphael,Lusty_Lady,link,285
Mona_Lisa,Raphael,link,285
David_(Michelangelo),Joshua,link,284
Ebenezer_Baptist_Church,Raphael_Warnock,link,284
High_Renaissance,Leonardo_da_Vinci,link,284
Michelangelo,Antonio_da_Sangallo_the_Younger,link,284
Moses_(Michelangelo),Horns_of_Moses,link,284
My_Science_Project,Raphael_Sbarge,link,284
Sandro_Botticelli,Pre-Raphaelite_Brotherhood,link,284
other-search,Lucan_portrait_of_Leonardo_da_Vinci,external,284
David_(Michelangelo),Carrara_marble,link,283
Penélope_Cruz,David_di_Donatello,link,283
Joel_(prophet),Prophet_Joel_(Michelangelo),link,11
"David_(Donatello,_bronze)",Donatello,link,282
John_Raphael_Smith,Francis_Leggatt_Chantrey,link,11
The_Last_Supper_(Leonardo),Conservation-restoration_of_Leonardo_da_Vinci's_The_Last_Supper,link,282
Jonah,The_Last_Judgment_(Michelangelo),link,11
Joseph_Sokolsky,Raphael_Popov,link,11
Joseph_Strauss_(engineer),Raphael_Strauss,link,11
Joseph_of_Damascus,Raphael_of_Brooklyn,link,11
Codex_Leicester,Leonardo_da_Vinci,link,281
Gian_Lorenzo_Bernini,Michelangelo,link,281
Michelangelo,Hercules,link,281
Julia_Margaret_Cameron,Pre-Raphaelite_Brotherhood,link,11
June_Diane_Raphael,Animal_Practice,link,11
June_Diane_Raphael,Bob_Odenkirk,link,11
June_Diane_Raphael,Martin_Sheen,link,11
June_Diane_Raphael,Rob_Huebel,other,11
June_Diane_Raphael,The_Dry_Land,link,11
Leonardo_da_Vinci,The_Battle_of_Anghiari_(Leonardo),link,280
Lorenzo_de'_Medici,Michelangelo,link,280
Raphael_(disambiguation),Raphael_(archangel),link,279
SS_Michelangelo,SS_Raffaello,link,279
Kenneth_Clark,Leonardo_da_Vinci,link,11
Khazar_hypothesis_of_Ashkenazi_ancestry,Raphael_Patai,link,11
Gabriel_Otegbayo,Raphael-Pijus_Otegbayo,link,277
List_of_Catholic_saints,Raphael_(archangel),link,277
Kucha,Maes_Titianus,link,11
Kunsthistorisches_Museum,Titian,link,11
Donatello,House_of_Medici,link,276
L.A.'s_Finest,Raphael_Saadiq,link,11
Leonardo_da_Vinci,Bernardo_Bandini_Baroncelli,link,276
Israel_Katz,Raphael_Mechoulam,link,275
Latin_ballad,Raphael_(singer),link,11
L'Eclisse,Michelangelo_Antonioni,link,274
Michelangelo,Bacchus_(Michelangelo),link,274
Leonardo's_aerial_screw,Museo_Nazionale_Scienza_e_Tecnologia_Leonardo_da_Vinci,link,11
Leonardo_da_Vinci,A_Treatise_on_Painting,link,11
Leonardo_da_Vinci,Apostolic_Palace,link,11
Leonardo_da_Vinci,Duncan_Dowson,link,11
Leonardo_da_Vinci,Gesso,link,11
Leonardo_da_Vinci,Leucippus,other,11
Leonardo_da_Vinci,Prior_(ecclesiastical),link,11
Leonardo_da_Vinci,The_Starry_Night,other,11
Leonardo_da_Vinci,Valdichiana,link,11
"Leonardo_da_Vinci,_A_Memory_of_His_Childhood",Psychobiography,link,11
Leonardo_da_Vinci_(Isaacson_book),Aspen_Institute,link,11
Leonardo_da_Vinci_(disambiguation),Italian_battleship_Leonardo_da_Vinci,link,11
Less_than_Zero_(film),Michelangelo_Antonioni,link,11
Let_Them_Talk_(film),Raphael_(singer),link,11
other-internal,List_of_works_by_Leonardo_da_Vinci,external,274
Cesare_Borgia,Leonardo_da_Vinci,link,273
Lifesigns_(Star_Trek:_Voyager),Raphael_Sbarge,link,11
Michelangelo,Doni_Tondo,link,273
List_of_Alain_Delon_performances,Michelangelo_Antonioni,link,11
Mona_Lisa,List_of_works_by_Leonardo_da_Vinci,link,272
other-empty,Flaying_of_Marsyas_(Titian),external,272
List_of_Celebrity_Family_Feud_episodes,June_Diane_Raphael,link,11
List_of_DC_Comics_characters:_Z,Leonardo_da_Vinci,link,11
List_of_Drunk_History_episodes,June_Diane_Raphael,link,11
other-search,Conservation-restoration_of_Leonardo_da_Vinci's_The_Last_Supper,external,271
other-internal,The_Last_Judgment_(Michelangelo),external,270
List_of_Pre-Raphaelite_paintings,Echo_and_Narcissus_(Waterhouse_painting),link,11
List_of_Pre-Raphaelite_paintings,Florence_from_Bellosguardo,link,11
List_of_Pre-Raphaelite_paintings,Gather_Ye_Rosebuds_While_Ye_May_(Waterhouse_painting_1908),link,11
List_of_Pre-Raphaelite_paintings,Marie_Spartali_Stillman,link,11
List_of_Pre-Raphaelite_paintings,Saint_Eulalia_(Waterhouse_painting),link,11
List_of_Pre-Raphaelite_paintings,Star_of_Bethlehem_(painting),link,11
List_of_Pre-Raphaelite_paintings,The_Nativity_(Burne-Jones),link,11
List_of_Pre-Raphaelite_paintings,The_Unwelcome_Companion:_A_Street_Scene_in_Cairo,link,11
List_of_Pre-Raphaelite_paintings,William_Gale_(painter),link,11
Undone_(TV_series),Raphael_Bob-Waksberg,link,268
Venus_of_Urbino,Titian,link,268
other-search,The_Fall_of_Man_(Titian),external,268
Leonardo_da_Vinci,Beatrice_d'Este,link,265
List_of_works_by_Leonardo_da_Vinci,Ginevra_de'_Benci,link,265
List_of_cruise_ships,SS_Leonardo_da_Vinci_(1958),link,11
other-external,Raphael,external,265
other-external,Raphael_(archangel),external,265
List_of_works_by_Leonardo_da_Vinci,Madonna_of_the_Carnation,link,264
"List_of_gay,_lesbian_or_bisexual_people:_M",Michelangelo,link,11
Raphael_De_Niro,Nobu,link,263
List_of_inventors,Leonardo_da_Vinci,link,11
other-empty,Raphael_Morgan,external,263
List_of_literary_movements,Pre-Raphaelite_Brotherhood,link,11
Michelangelo,Michelangelo_and_the_Medici,link,262
Walter_Isaacson,Leonardo_da_Vinci_(Isaacson_book),link,262
List_of_paintings_by_Raphael,Canigiani_Holy_Family,link,11
List_of_paintings_by_Raphael,Portrait_of_Cardinal_Bibbiena_(Raphael),link,11
List_of_paintings_by_Raphael,Solly_Madonna,link,11
List_of_paintings_by_Raphael,Visitation_(Raphael),link,11
Teenage_Mutant_Ninja_Turtles_(2014_film),Raphael_(Teenage_Mutant_Ninja_Turtles),link,261
other-search,"Raphael,_Nicholas,_and_Irene_of_Lesbos",external,261
Leonardo_da_Vinci,Isabella_d'Este,link,260
List_of_angels_in_theology,Raphael_(archangel),link,260
List_of_works_by_Leonardo_da_Vinci,La_Scapigliata,link,260
Salaì,Leonardo_da_Vinci,link,260
other-search,Michelangelo_Rampulla,external,260
List_of_statues,Bacchus_(Michelangelo),link,11
List_of_statues_of_Jesus,Lamentation_over_the_Dead_Christ_(Donatello),link,11
David_(Michelangelo),Classical_antiquity,link,259
List_of_the_tallest_statues_in_the_United_States,David_(inspired_by_Michelangelo),link,11
List_of_theoretical_physicists,Leonardo_da_Vinci,link,11
List_of_things_named_after_Leonardo_da_Vinci,Leonardo_(Teenage_Mutant_Ninja_Turtles),link,11
other-empty,Raphael_Veiga,external,259
other-empty,The_Tribute_Money_(Masaccio),external,259
List_of_works_by_Leonardo_da_Vinci,Galleria_nazionale_di_Parma,link,11
List_of_works_by_Leonardo_da_Vinci,Giorgio_Vasari,link,11
List_of_works_by_Leonardo_da_Vinci,Peter_Paul_Rubens,link,11
List_of_works_by_Michelangelo,"Church_of_Our_Lady,_Bruges",link,11
List_of_works_by_Michelangelo,Epifania,link,11
List_of_works_by_Michelangelo,Pietà_for_Vittoria_Colonna,link,11
List_of_works_by_Michelangelo,Santa_Maria_degli_Angeli_e_dei_Martiri,link,11
List_of_works_by_Titian,Abraham_and_Isaac_(Titian),link,11
List_of_works_by_Titian,John_Frederick_I_of_Saxony,link,11
List_of_works_by_Titian,Portrait_of_Federico_II_Gonzaga,link,11
List_of_works_by_Titian,Sisyphus_(Titian),link,11
List_of_works_by_Titian,The_Fall_of_Man_(Titian),link,11
List_of_works_by_Titian,Venus_with_a_Mirror,link,11
List_of_works_in_the_Louvre,Raphael,link,11
other-search,Raphael_Holinshed,external,259
Lists_of_art_awards,Leonardo_da_Vinci_World_Award_of_Arts,link,11
"Lives_of_the_Most_Excellent_Painters,_Sculptors,_and_Architects",Raphael,link,11
other-empty,Andrea_del_Sarto,external,258
Leonardo_da_Vinci,Lost_artworks,link,257
Raphael_Lemkin,Genocide_Convention,link,257
Lucy_Pearl_(album),Raphael_Saadiq,link,11
Lyricon,Raphael_Ravenscroft,link,11
MS_Giulio_Cesare,SS_Leonardo_da_Vinci,link,11
Madonna_del_Prato_(Raphael),"Belvedere,_Vienna",link,11
Maes_Titianus,Sino-Roman_relations,link,11
2028_United_States_Senate_elections,Raphael_Warnock,link,254
NTSF:SD:SUV::,June_Diane_Raphael,link,254
Main_Page,The_Rape_of_Europa_(Titian),other,11
Main_Page,Transfiguration_(Raphael),other,11
Marcantonio_Raimondi,Battle_of_Cascina_(Michelangelo),link,11
other-empty,Conservation-restoration_of_Leonardo_da_Vinci's_The_Last_Supper,external,253
Marcos_Rocha,Raphael_Veiga,other,11
Margarita_Luti,Transfiguration_(Raphael),link,11
Maria_Luisa_of_Parma,Anton_Raphael_Mengs,link,11
Arabelle_Raphael,Siri_Dahl,other,252
Mark_Rein_(journalist),Raphael_Abramovitch,link,11
Marsyas,Flaying_of_Marsyas_(Titian),link,11
Mary_Magdalene,Donatello,link,11
Marzocco,Donatello,link,11
Max_Nordau,Pre-Raphaelite_Brotherhood,link,11
Michelangelo,Giorgio_Vasari,link,251
other-empty,Raphael_Bostic,external,251
other-external,The_Last_Judgment_(Michelangelo),external,251
Meet_Wally_Sparks,Sally_Jessy_Raphael,link,11
other-search,Michelangelo_Signorile,external,251
Family_(Willie_Nelson's_band),Mickey_Raphael,link,250
Michelangelo,Giovanni_Pico_della_Mirandola,link,11
Michelangelo,Jean_Bilhères_de_Lagraulas,link,11
Michelangelo,Pendentive,link,11
Michelangelo,Rafael,other,11
Michelangelo_(Teenage_Mutant_Ninja_Turtles),Horridus,link,11
Michelangelo_(Teenage_Mutant_Ninja_Turtles),List_of_Teenage_Mutant_Ninja_Turtles_(2012_TV_series)_characters,link,11
Michelangelo_(Teenage_Mutant_Ninja_Turtles),Rise_of_the_Teenage_Mutant_Ninja_Turtles:_The_Movie,link,11
Michelangelo_(Teenage_Mutant_Ninja_Turtles),Robbie_Rist,link,11
Michelangelo_(Teenage_Mutant_Ninja_Turtles),Teenage_Mutant_Ninja_Turtles:_Out_of_the_Shadows,link,11
Michelangelo_(computer_virus),Computer_virus,link,11
Michelangelo_Antonioni,Centro_Sperimentale_di_Cinematografia,link,11
Michelangelo_Antonioni,Main_Page,other,11
Michelangelo_Buonarroti_the_Younger,Galileo_Galilei,link,11
Michelangelo_phenomenon,Pygmalion_effect,link,11
Mickey_Raphael,Honeysuckle_Rose_(film),link,11
Mickey_Raphael,Townes_Van_Zandt,link,11
David_Shore,Raphael_Shore,link,249
Mihrimah_Sultan_(daughter_of_Suleiman_I),Titian,link,11
Ken_Burns,Leonardo_da_Vinci_(2024_film),link,249
Raphael_Saadiq,Lucy_Pearl,link,249
other-empty,Luca_della_Robbia,external,249
List_of_works_by_Leonardo_da_Vinci,La_Belle_Ferronnière,link,248
Third_series_euro_redesign,Leonardo_da_Vinci,link,248
Mona_Lisa_replicas_and_reinterpretations,List_of_works_by_Leonardo_da_Vinci,link,11
Moses_(Michelangelo),Leah_(sculpture),link,11
Moses_(disambiguation),Moses_(Michelangelo),link,11
June_Diane_Raphael,Bride_Wars,link,247
Michelangelo,Rondanini_Pietà,link,247
Raphael_Warnock,Seniority_in_the_United_States_Senate,link,247
Mthuli_Ncube,Pashor_Raphael_Sibanda,link,11
Raphael_Saadiq,Jimmy_Lee_(album),link,246
Sylvia_Raphael,Annæus_Schjødt_Jr.,link,246
David,David_(Michelangelo),link,245
Isabella_Stewart_Gardner,The_Rape_of_Europa_(Titian),link,245
other-empty,Gordon_Raphael,external,245
Apostolic_Palace,Raphael_Rooms,link,244
New_Girl_season_3,June_Diane_Raphael,link,11
Nick_Raphael,Christian_Tattersfield,link,11
Nicodemus,Titian,link,11
Ninja_Turtles:_The_Next_Mutation,Raphael_(Teenage_Mutant_Ninja_Turtles),link,11
Leonardo_da_Vinci,List_of_things_named_after_Leonardo_da_Vinci,link,242
Old_age,Titian,link,11
Cosimo_de'_Medici,Donatello,link,241
June_Diane_Raphael,"Rockville_Centre,_New_York",link,241
Otho,Lucius_Salvius_Otho_Titianus,link,11
Overseas_Shipholding_Group,Raphael_Recanati,link,11
Oxbridge_Blues,Frederic_Raphael,link,11
Raphael_(Teenage_Mutant_Ninja_Turtles),Donatello_(Teenage_Mutant_Ninja_Turtles),link,240
PRB,Pre-Raphaelite_Brotherhood,link,11
other-search,Importuno_di_Michelangelo,external,240
Pallas_and_Arachne,The_Rape_of_Europa_(Titian),link,11
Paolo_Sorrentino,David_di_Donatello,link,11
Parabola,Leonardo_da_Vinci,link,11
Leonardo_da_Vinci,Adding_machine,link,239
Pre-Raphaelite_Brotherhood,Marie_Spartali_Stillman,link,239
The_Building_Worker,David_(Michelangelo),link,239
Penitent_Magdalene_(Donatello),Mary_of_Egypt,link,11
"Penitent_Magdalene_(Titian,_1531)","Penitent_Magdalene_(Titian,_1565)",link,11
Palace_of_Whitehall,Sleeping_Cupid_(Michelangelo),link,238
Pertinax,Flavia_Titiana,link,238
Perfect_Strangers_(2016_film),David_di_Donatello,link,11
Perseus_and_Andromeda_(Titian),Titian,link,11
Personal_life_of_Leonardo_da_Vinci,Celibacy,link,11
Personal_life_of_Leonardo_da_Vinci,Gentleman,link,11
other-empty,Raphael_Semmes,external,238
other-search,Monument_to_Leonardo_da_Vinci,external,238
other-search,The_Feast_of_Herod_(Donatello),external,238
Christina_Rossetti,Pre-Raphaelite_Brotherhood,link,237
"David_(Donatello,_bronze)",Bargello,link,237
Piazzale_Michelangelo,Bargello,link,11
Piazzale_Michelangelo,Ponte_Vecchio,link,11
Raphael_Warnock,Georgia_(U.S._state),link,237
Pieter_Bruegel_the_Elder,Leonardo_da_Vinci,link,11
Pietro_Torrigiano,Masaccio,link,11
Pietà_(Michelangelo),Alba_Madonna,other,11
Pietà_(Titian),Gallerie_dell'Accademia,link,11
The_Addams_Family_(1991_film),Sally_Jessy_Raphael,link,237
The_Last_Judgment_(Michelangelo),Biagio_da_Cesena,link,237
Michelangelo_(Teenage_Mutant_Ninja_Turtles),Teenage_Mutant_Ninja_Turtles:_The_Last_Ronin,link,236
Pope_Clement_VII,Transfiguration_(Raphael),link,11
Vandalism_of_Michelangelo's_Pietà,Bob_Cassilly,link,236
Portrait_of_Alfonso_d'Avalos_with_a_Page,Titian,link,11
"Portrait_of_Charles_V_(Titian,_Munich)",Henry_Kissinger,link,11
Portrait_of_a_Young_Woman_with_a_Unicorn,List_of_paintings_by_Raphael,link,11
other-search,"Ecce_Homo_(Titian,_Vienna)",external,236
Pre-Raphaelite_Brotherhood,Academic_art,link,11
Pre-Raphaelite_Brotherhood,New_English_Art_Club,link,11
Algernon_Charles_Swinburne,Pre-Raphaelite_Brotherhood,link,235
Leonardo_da_Vinci,The_Virgin_and_Child_with_Saint_Anne_(Leonardo),link,235
"Prince_Philippe,_Count_of_Paris","St_Raphael's_Church,_Surbiton",link,11
Michelangelo,Madonna_of_the_Stairs,link,235
Priscilla_(soundtrack),Sons_of_Raphael,link,11
Bartholomew_the_Apostle,The_Last_Judgment_(Michelangelo),link,234
Leonardo_da_Vinci,Main_Page,other,234
other-external,Titian,external,234
Racing_Thoughts_(Jasper_Johns),The_Last_Judgment_(Michelangelo),link,11
Rafael_Kayanan,Chiaroscuro:_The_Private_Lives_of_Leonardo_da_Vinci,link,11
Raffaello,Raphael_(given_name),link,11
Raphael,Albrecht_Dürer,other,11
Raphael,Condottiere,link,11
Raphael,Fra_Bartolomeo,link,11
Raphael,Luca_Signorelli,link,11
Raphael,Rembrandt,other,11
Raphael,Vatican_Museums,link,11
Raphael's_Ephemeris,Ephemeris,link,11
Raphael-Pijus_Otegbayo,Stoke_City_F.C.,link,11
Raphael_(Teenage_Mutant_Ninja_Turtles),Kusari-fundo,link,11
Raphael_(Teenage_Mutant_Ninja_Turtles),Ninjutsu,link,11
Raphael_(Teenage_Mutant_Ninja_Turtles),Tsundere,link,11
Raphael_(archangel),"Calaca,_Batangas",link,11
Raphael_(archangel),Lutheranism,link,11
Raphael_(archangel),"San_Rafael,_California",link,11
Raphael_(archangel),Sefirot,link,11
Raphael_(disambiguation),Raphael_(musician),link,11
Raphael_(disambiguation),Raphaël_Haroche,link,11
Raphael_Armattoe,Erwin_Schrödinger,link,11
Raphael_Assunção,Bryan_Caraway,link,11
Raphael_Bob-Waksberg,Animaniacs,link,11
Raphael_Cilento,"Jamestown,_South_Australia",link,11
Raphael_Cohen,Aryeh_Leib_ben_Asher_Gunzberg,link,11
Raphael_Douady,Adrien_Douady,link,11
Raphael_Guzzo,G.D._Chaves,link,11
Raphael_Hadane,Beta_Israel,link,11
Raphael_Holzhauser,Marsaxlokk_F.C.,link,11
Raphael_Hostey,Aine_Davis,link,11
Raphael_House_Rudolf_Steiner_School,Waldorf_education,link,11
Raphael_I_Bidawid,List_of_Chaldean_Catholic_patriarchs_of_Baghdad,link,11
Raphael_Kalinowski,Odour_of_sanctity,link,11
Raphael_Lea'i,Eugenio_Pizzuto,link,11
Raphael_Lemkin,Adolf_Hitler,link,11
Raphael_Lemkin,Cultural_genocide,link,11
Raphael_Mechoulam,Franz_Sondheimer,link,11
Raphael_Patai,Daphne_Patai,link,11
Raphael_Patai,Jewish_folklore,other,11
Raphael_Ravenscroft,Romance_Dance,link,11
Raphael_Rossi,Radomiak_Radom,link,11
Raphael_Saadiq,Eric_Gales,link,11
Raphael_Saadiq,Mary_J._Blige,link,11
Raphael_Saadiq,Sinners_(2025_film),link,11
Raphael_Saadiq,Universal_Records_(1995−2006),link,11
Raphael_Saadiq,Wasteland_(Brent_Faiyaz_album),link,11
Raphael_Saadiq_production_discography,Untitled_(How_Does_It_Feel),link,11
Raphael_Sallinger,1._FC_Kaiserslautern,link,11
Raphael_Sbarge,Mass_Effect,link,11
Raphael_Sbarge,The_Mentalist,link,11
Raphael_Semmes,John_Ancrum_Winslow,link,11
Raphael_Semmes,"Semmes,_Alabama",link,11
Raphael_Semmes,Southern_Victory,link,11
Raphael_Shore,Rawan_Osman,link,11
Raphael_Supusepa,Shaanxi_Union_F.C.,link,11
Raphael_Veiga,2021_Copa_Libertadores,link,11
Raphael_Warnock,"Consolidated_Appropriations_Act,_2021",link,11
Raphael_Warnock,GovTrack,link,11
Raphael_Warnock,Latin_honors,link,11
Raphael_Warnock,Marco_Rubio,link,11
Raphael_Warnock,Ted_Cruz,link,11
Raphael_Warnock,Timeline_of_African-American_firsts,link,11
other-empty,Museo_Nazionale_Scienza_e_Tecnologia_Leonardo_da_Vinci,external,233
Red_Bull_Ghana,Raphael_Dwamena,link,11
Red_Wedding_(Perugia),The_Deposition_(Raphael),link,11
David_(Michelangelo),Heroic_nudity,link,232
David_(Michelangelo),Italian_Renaissance_sculpture,link,232
Removal_of_Confederate_monuments_and_memorials,Raphael_Semmes,link,11
Raphael,Platonism_in_the_Renaissance,link,232
Republic_of_Florence,Leonardo_da_Vinci,link,11
Titian,Pieve_di_Cadore,link,232
other-empty,The_Michelangelo,external,232
Rhett_&_Link,Donatello,link,11
Richard_Gere,David_di_Donatello,link,11
David_di_Donatello,David_di_Donatello_for_Best_Film,link,231
St._Brandon,Île_Raphael,link,231
Rokeby_Venus,Titian,link,11
Rosalind_H._Williams,Leonardo_da_Vinci_Medal,link,11
2026–27_Eintracht_Frankfurt_season,Raphael_Onyedika,link,229
other-empty,Sylvia_Raphael,external,229
"Saint-Raphaël,_Var",Saint_Raphael,link,11
Saint_George_(Donatello),Orsanmichele,link,11
Saint_George_and_the_Dragon,"Saint_George_(Raphael,_Louvre)",link,11
Saint_George_and_the_Dragon,Saint_George_and_the_Dragon_(Raphael),link,11
Saint_George_and_the_Dragon_(disambiguation),Saint_George_and_the_Dragon_(Raphael),link,11
Saint_John_the_Baptist_(Titian),Gallerie_dell'Accademia,link,11
Saint_John_the_Baptist_(Titian),Titian,link,11
Saint_Michael_(Raphael),Raphael,link,11
Sally_Jessy_Raphael,Neighborhood_Playhouse_School_of_the_Theatre,link,11
Sally_Jessy_Raphael,The_Oprah_Winfrey_Show,link,11
Salvador_Dalí,Raphael,link,11
Salve_Regina,Raphael,link,11
Book_of_Tobit,Raphael_(archangel),link,228
Burning_Love_(TV_series),June_Diane_Raphael,link,228
Samson_Raphael_Hirsch,Joseph_Breuer,link,11
Samson_Raphael_Hirsch,Zvi_Hirsch_Kalischer,link,11
Samuel_Edward_Konkin_III,Raphael_Lemkin,link,11
"San_Domenico,_Bologna",Saint_Petronius_(Michelangelo),link,11
Lisa_Hanawalt,Raphael_Bob-Waksberg,link,228
List_of_works_by_Michelangelo,Head_of_a_Faun,link,228
Michelangelo_Antonioni,Slow_cinema,link,228
Sandro_Botticelli,Donatello,link,11
"Santissima_Annunziata,_Florence",Andrea_del_Sarto,link,11
Satyr,Bacchus_(Michelangelo),link,11
Science_and_inventions_of_Leonardo_da_Vinci,Early_flying_machines,link,11
Science_and_inventions_of_Leonardo_da_Vinci,Mechanical_engineering,link,11
Science_and_inventions_of_Leonardo_da_Vinci,The_Baptism_of_Christ_(Verrocchio_and_Leonardo),link,11
Francis_I_of_France,Leonardo_da_Vinci,link,227
Sea_of_Galilee,Raphael,link,11
List_of_works_by_Leonardo_da_Vinci,The_Baptism_of_Christ_(Verrocchio_and_Leonardo),link,227
Michelangelo,Michelangelo_(disambiguation),link,227
Native_American_genocide_in_the_United_States,Raphael_Lemkin,link,227
Titian,Giorgione,link,227
Vandalism_of_Michelangelo's_Pietà,Pietà_(Michelangelo),link,227
"Self-Portrait_(Titian,_Berlin)",Titian,link,11
"Self-Portrait_(Titian,_Madrid)","Self-Portrait_(Titian,_Berlin)",link,11
other-empty,Madonna_del_Prato_(Raphael),external,227
other-search,Raphael_Bousso,external,227
other-search,Raphael_Samuel,external,227
Bruno_Guimarães,Raphael_Veiga,other,226
David_(Michelangelo),List_of_works_by_Michelangelo,link,226
JID,Raphael_Warnock,link,226
Julia_Stephen,Pre-Raphaelite_Brotherhood,link,226
Michelangelo_Antonioni,Story_of_a_Love_Affair,link,226
Raphael_Lea'i,Solomon_Kings_FC,link,226
Vandalism_of_Michelangelo's_Pietà,László_Tóth,link,226
David_(Michelangelo),Florence,link,225
Michelangelo,Sistine_Chapel,link,225
other-empty,Raphael_Cormack,external,225
other-search,Saint_Catherine_of_Alexandria_(Raphael),external,225
other-search,Cardinal_and_Theological_Virtues_(Raphael),external,224
"South_Side_High_School_(Rockville_Centre,_New_York)",June_Diane_Raphael,link,11
David_(Michelangelo),List_of_tallest_statues,link,223
List_of_works_by_Michelangelo,Michelangelo,link,223
"Spokane,_Washington",Jacques_Raphael_Finlay,link,11
Pope_Clement_VII,The_Last_Judgment_(Michelangelo),link,223
St_Raphael's_Estate,St._Raphael's_Edible_Garden,link,11
Leonardo_da_Vinci,Cultural_references_to_Leonardo_da_Vinci,link,222
Michelangelo,Fresco,link,222
Raphael_Rowe,Miscarriage_of_justice,link,222
Stoat,Leonardo_da_Vinci,link,11
Studies_of_the_Fetus_in_the_Womb,Leonardo_da_Vinci,link,11
June_Diane_Raphael,Freakier_Friday,link,221
Masaccio,Pisa_Altarpiece,link,221
Suspicion_(1941_film),Samson_Raphaelson,link,11
